COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Chile,CHL,AMRO,REPORTING,2021-12-23,43175145,17188932.0,225.856,89.918,16439131.0,85.996,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,4.0
Tonga,TON,WPRO,REPORTING,2021-12-20,133489,73747.0,126.296,69.773,59742.0,56.523,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-04-14,2.0
Lesotho,LSO,AFRO,REPORTING,2021-12-31,698383,745528.0,32.6,34.801,735610.0,34.338,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-10,3.0
Micronesia (Federated States of),FSM,WPRO,REPORTING,2021-12-15,82358,48353.0,71.601,42.038,43234.0,37.587,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,4.0
Malaysia,MYS,WPRO,REPORTING,2021-12-17,55515573,25891725.0,171.524,79.997,25344958.0,78.307,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-24,5.0
New Caledonia,NCL,WPRO,REPORTING,2021-12-18,355717,182486.0,124.595,63.918,173231.0,60.677,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-20,2.0
Tuvalu,TUV,WPRO,REPORTING,2021-10-22,12114,6230.0,102.731,52.832,5884.0,49.898,AstraZeneca - Vaxzevria,2021-04-13,1.0
Guatemala,GTM,AMRO,REPORTING,2021-12-23,10996848,6414606.0,61.382,35.805,4518222.0,25.22,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-25,5.0
Egypt,EGY,EMRO,REPORTING,2021-12-24,52819190,33098284.0,51.614,32.343,20627388.0,20.157,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-24,6.0
Solomon Islands,SLB,WPRO,REPORTING,2021-12-17,246124,185485.0,35.832,27.004,60639.0,8.828,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-23,3.0
Togo,TGO,AFRO,REPORTING,2021-12-31,2413619,1391738.0,29.154,16.811,1020872.0,12.331,SII - Covishield,2021-03-10,1.0
Wallis and Futuna,WLF,WPRO,REPORTING,2021-11-26,11939,6016.0,106.162,53.495,5923.0,52.668,Moderna - Spikevax,2021-03-19,1.0
Saba,XCA,AMRO,REPORTING,2021-12-23,3142,1581.0,162.545,81.79,1561.0,80.755,,,
Paraguay,PRY,AMRO,REPORTING,2021-12-23,6640918,3456659.0,93.107,48.463,2909472.0,40.792,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-22,8.0
Brazil,BRA,AMRO,REPORTING,2021-12-23,315180274,159609213.0,148.279,75.089,140517221.0,66.107,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,5.0
Peru,PER,AMRO,REPORTING,2021-12-23,48710775,24416744.0,147.734,74.053,21304262.0,64.613,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty",2021-02-09,3.0
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2021-12-03,85020,40597.0,147.714,70.534,37276.0,64.764,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-19,3.0
Sao Tome and Principe,STP,AFRO,REPORTING,2021-12-13,137612,86396.0,62.791,39.422,51216.0,23.369,"AstraZeneca - Vaxzevria,SII - Covishield",2021-03-15,2.0
Bahrain,BHR,EMRO,REPORTING,2021-12-27,3195080,1201092.0,187.772,70.587,1175465.0,69.081,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-11-04,8.0
Guam,GUM,WPRO,REPORTING,2021-12-15,282190,139095.0,167.199,82.414,125579.0,74.406,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-04,3.0
Gabon,GAB,AFRO,REPORTING,2021-12-22,438557,247008.0,19.704,11.098,191549.0,8.606,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-03-23,3.0
