COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Maldives,MDV,SEARO,REPORTING,2022-05-09,941585.0,398597.0,174.192,73.74,383980.0,71.036,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-01,8.0,159008.0,29.416
Mali,MLI,AFRO,REPORTING,2022-05-08,1993965.0,1439740.0,9.846,7.11,1075123.0,5.309,SII - Covishield,2021-03-31,1.0,,
Malta,MLT,EURO,REPORTING,2022-04-24,1216447.0,449828.0,236.4,87.419,443707.0,86.23,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0,347060.0,67.447
Marshall Islands,MHL,WPRO,REPORTING,2022-04-21,64048.0,33265.0,108.2,56.197,26892.0,45.43,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-29,3.0,6687.0,11.297
Martinique,MTQ,AMRO,REPORTING,2022-05-06,379623.0,148410.0,101.161,39.548,143206.0,38.161,Pfizer BioNTech - Comirnaty,,1.0,88007.0,23.452
Mauritania,MRT,AFRO,REPORTING,2022-05-08,2650797.0,1567060.0,57.011,33.703,1068169.0,22.973,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-26,2.0,47137.0,1.014
Mauritius,MUS,AFRO,REPORTING,2022-05-08,2698115.0,1000474.0,212.155,78.668,963452.0,75.757,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-01-26,3.0,607749.0,47.788
Mexico,MEX,AMRO,REPORTING,2022-05-06,201861103.0,85904997.0,156.563,66.628,79947470.0,62.007,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-24,7.0,48258084.0,37.429
Micronesia (Federated States of),FSM,WPRO,REPORTING,2022-04-21,122731.0,66131.0,106.701,57.494,55921.0,48.617,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,4.0,13642.0,11.86
Monaco,MCO,EURO,REPORTING,2021-12-21,65140.0,28875.0,166.0,73.578,25667.0,65.404,"Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-06-30,3.0,,
