date,iso_code,continent,location,S0,V0,I0,D0,beta,beta_v,gamma,theta,alpha,alpha0,pi,death_avg,recovery_case,new_full_vaccinated,new_boost_req,daily_case_non_vaccinated,daily_case_vaccinated,current_pol_N,daily_R0,avg_R0
2022-10-16,OWID_WRL,,World,7039586115,864750694,8595426,6803820,0.05494046451491131,0.018313487879691875,0.00016764730450823497,0.05685558807672825,0.0006499438922958173,0.006311377411007833,372513,1446.0,490347.0,4635175.0,5135265.0,433197.591796875,17754.408203125,7919736056,0.9034429720267304,0.9178718809361277
2022-10-17,OWID_WRL,,World,7040228679,864357527,8542230,6805261,0.06269672232235823,0.02089890529516444,0.00018777298199650443,0.05711693550747287,0.0006493530548458287,0.006181296317177979,372523,1441.0,488698.0,4575336.0,4799388.0,419755.263671875,17187.736328125,7919933698,1.02455378195037,0.9305133508428789
2022-10-18,OWID_WRL,,World,7040704312,864071881,8548285,6806865,0.06822940060270005,0.022743133744961615,0.00020986665746404104,0.05706244000989672,0.0006420361940187326,0.006101071117792863,372532,1604.0,487906.0,4571594.0,4695862.0,476081.513671875,19483.486328125,7920131344,1.1153632962031472,0.9461090724265735
2022-10-19,OWID_WRL,,World,7041115374,863806563,8598398,6808659,0.07037529175478432,0.023458431447171527,0.00022329740958722775,0.05685338129265475,0.0006020406959205855,0.006208046135957748,372541,1794.0,487786.0,4520387.0,4633902.0,518482.701171875,21210.298828125,7920328995,1.1599012601886354,0.9602829148459194
2022-10-20,OWID_WRL,,World,7041877391,863171110,8667571,6810579,0.06567234208976705,0.021890781774924525,0.00022301519076105636,0.05653002438630154,0.0005528877859747081,0.006324121524164584,372550,1920.0,488848.0,4239038.0,4730830.0,537942.666015625,21998.333984375,7920526652,1.0947943298584906,0.9708537334002206
2022-10-21,OWID_WRL,,World,7043112410,862096978,8702412,6812512,0.059514161983998934,0.019838052228458483,0.00020373661922694537,0.056344379006647814,0.0005277050518704613,0.006660491968196529,372560,1933.0,489978.0,3893368.0,4832671.0,506074.333984375,20677.666015625,7920724313,1.0007090570444743,0.9753895078346045
2022-10-22,OWID_WRL,,World,7044854171,860563893,8689629,6814285,0.05182778432156566,0.017275928122857942,0.00017952435023405486,0.05640516988699978,0.0004964014747570992,0.00683623498724348,372569,1773.0,490332.0,3716686.0,5121160.0,460531.865234375,18790.134765625,7920921979,0.8744932148424265,0.9757657472158756
2022-10-23,OWID_WRL,,World,7047018439,858670573,8614792,6815845,0.05064114156403509,0.01688037987234674,0.00017597639037599514,0.057006019414049695,0.0004616607757973353,0.006797986541680314,372578,1560.0,490140.0,3497076.0,5266930.0,400553.1484375,16309.8515625,7921119650,0.8479901566792604,0.9780225963618104
2022-10-24,OWID_WRL,,World,7049395584,856578314,8526066,6817361,0.057977158055130526,0.019325720612322413,0.00020126515558289133,0.0578192803105207,0.00042710668795840185,0.006779315911290201,372588,1516.0,491095.0,3253332.0,5224466.0,388120.978515625,15764.021484375,7921317326,0.9595666471593521,0.9855775659748534
2022-10-25,OWID_WRL,,World,7051933765,854273061,8489103,6819077,0.06320888247960747,0.021069627297752015,0.0002294706519640532,0.058274472579729564,0.00040219733965109265,0.006769602440545818,372597,1716.0,492971.0,3010844.0,5196202.0,439906.201171875,17817.798828125,7921515007,1.039714940772205,0.995027539765844
2022-10-26,OWID_WRL,,World,7054582770,851819468,8489429,6821025,0.06321502123681914,0.02107167398401206,0.00023558710485711113,0.05848979949063712,0.0003978962457687565,0.006793326774749383,372606,1948.0,494698.0,2836269.0,5173037.0,477683.115234375,19288.884765625,7921712693,1.0364358806368097,1.0024963596457153
2022-10-27,OWID_WRL,,World,7057262952,849336370,8488035,6823025,0.05899840564699266,0.019666134907220065,0.0002294995249194896,0.0585517142660227,0.00039396080586330415,0.00682378407667599,372616,2000.0,496545.0,2806992.0,5177183.0,477915.388671875,19235.611328125,7921910383,0.9669541756815341,1.0027785384423376
2022-10-28,OWID_WRL,,World,7060010693,846819295,8453117,6824973,0.053234008797384116,0.017744670044619295,0.00020371183789364325,0.0587949983420317,0.0003993974120275187,0.006754300513207745,372625,1948.0,496989.0,2780285.0,5187643.0,446122.17578125,17896.82421875,7922108079,0.8686071050072074,0.9962270718049734
2022-10-29,OWID_WRL,,World,7062689395,844418237,8371452,6826695,0.04614529516127133,0.015381764059337765,0.00017870257154911715,0.05933594315538093,0.000403951220298818,0.006772249517661205,372634,1722.0,497001.0,2819750.0,5113927.0,401024.26171875,16033.73828125,7922305780,0.7462769590670162,0.9898454405593837
2022-10-30,OWID_WRL,,World,7065392309,842051644,8231340,6828191,0.04448379513398998,0.014827931663946381,0.00016825935995840288,0.060253251596945334,0.0004171948097259236,0.006869744907543606,372643,1496.0,496728.0,2852982.0,5117624.0,344386.9814453125,13725.0185546875,7922503485,0.708166517810383,0.9847671779593795
2022-10-31,OWID_WRL,,World,7068086782,839711327,8073510,6829576,0.04952710299451082,0.016509034157329586,0.00020486752354304387,0.061352621102841266,0.00042392702468955644,0.006911360857841267,372653,1385.0,495965.0,2947645.0,5187564.0,326547.388671875,12972.611328125,7922701196,0.7735656780819995,0.9828719171949578
2022-11-01,OWID_WRL,,World,7070721994,837398309,7947377,6831230,0.05319073322183225,0.017730243884394658,0.0002246024065550181,0.0622068136443005,0.00042380565976787935,0.006973548829942666,372662,1654.0,495331.0,2996353.0,5210617.0,356725.2978515625,14126.7021484375,7922898911,0.819405254785498,0.9846655703542816
2022-11-02,OWID_WRL,,World,7073371356,835048897,7843363,6833015,0.055983746086420545,0.018661247950872952,0.0002447929542467944,0.06258425116879074,0.00042567099172351587,0.006962934763404431,372671,1785.0,494381.0,2996612.0,5250968.0,377258.8525390625,14893.1474609375,7923096632,0.8567531758675783,0.983670366490908
2022-11-03,OWID_WRL,,World,7075965641,832735773,7758007,6834935,0.05560515033173242,0.018535049568191655,0.00024374816882738053,0.06265217342546868,0.00042292559796510516,0.006899489827398487,372681,1920.0,490871.0,3010929.0,5231584.0,392008.7646484375,15426.2353515625,7923294357,0.8499771593234018,0.9772406875252906
2022-11-04,OWID_WRL,,World,7078515537,830469298,7670425,6836826,0.050899261351779634,0.01696641813853657,0.0002122437804945619,0.06277201067737447,0.0004223141114871364,0.00676441743514627,372690,1891.0,486056.0,2992607.0,5168733.0,385252.185546875,15112.814453125,7923492087,0.7764772916040884,0.9636251805477137
2022-11-05,OWID_WRL,,World,7080977661,828323974,7549733,6838454,0.04602253952444306,0.015340846131117752,0.00018702648159875322,0.06315892230890814,0.00041909481176816143,0.006614000277430252,372699,1628.0,481488.0,2989357.0,5046659.0,348783.931640625,13640.068359375,7923689823,0.6977411795168286,0.9496899145379966
2022-11-06,OWID_WRL,,World,7083362190,826291406,7394100,6839866,0.045787206812368704,0.015262401593024466,0.00018474188880323502,0.06381655644365102,0.0004175015932371272,0.006654992362976393,372709,1412.0,476833.0,2967601.0,4913319.0,310504.5224609375,12107.4775390625,7923887563,0.6873385233342075,0.9385525875930627
2022-11-07,OWID_WRL,,World,7085786833,824221963,7235279,6841232,0.052133340273013994,0.017377780890862646,0.00020082155781414926,0.06436711010038453,0.00041793805963830837,0.00660185876833029,372718,1366.0,471866.0,2957315.0,4939437.0,302642.9873046875,11768.0126953125,7924085308,0.7753957891069435,0.9342079056723055
2022-11-08,OWID_WRL,,World,7088115497,822206390,7118485,6842685,0.05800339021300332,0.01933446194312387,0.00023417904231026686,0.06440288909789091,0.00042079238144757407,0.006449193363959634,372727,1453.0,465714.0,2961420.0,4887886.0,337294.900390625,13078.099609375,7924283058,0.8606841386782143,0.9337481628777917
2022-11-09,OWID_WRL,,World,7090250789,820343696,7041975,6844352,0.06211600054914684,0.020705333325852435,0.00025433205883292683,0.06392226612562527,0.0004289573232789855,0.006341930853611734,372736,1667.0,458451.0,2982625.0,4754595.0,369327.5947265625,14280.4052734375,7924480813,0.9269030345411462,0.9304785962296199
2022-11-10,OWID_WRL,,World,7092204045,818631874,6996510,6846143,0.0644142876005732,0.02147142679535394,0.00024297828488775117,0.06327068781435316,0.0004364335797396257,0.006341109067815381,372746,1791.0,450139.0,3041415.0,4661312.0,391371.0908203125,15093.9091796875,7924678573,0.9704782433420618,0.9250458183406667
2022-11-11,OWID_WRL,,World,7094079141,816978365,6970987,6847843,0.062309626472130605,0.0207698765597531,0.0002239281180699376,0.06248498239919254,0.0004287192092648099,0.006371555502240394,372755,1700.0,442674.0,3095276.0,4655435.0,403332.513671875,15518.486328125,7924876337,0.951722554982381,0.9186383251070848
