date,S0,V0,I0,D0,beta,beta_v,gamma,theta,alpha,alpha0,pi,death_avg,recovery_case,new_full_vaccinated,new_boost_req,daily_case_non_vaccinated,daily_case_vaccinated,current_pol_N,daily_R0,avg_R0
2022-08-23,59868185,38684201,38325,43967,0.10193687867644854,0.03397896066636855,1.7197729008367533e-05,0.04944553163731246,0.004576771422693065,0.010493172485325563,4118,0.0,1855.0,277905.0,248354.0,2180.6146850585938,472.38531494140625,98634679,1.642167638526711,1.7776362987487058
2022-08-24,59999564,38554141,39312,43967,0.1048737409904249,0.03495791180661977,1.7197729008367533e-05,0.04965404965404965,0.004501732657388275,0.010284420479821463,4118,0.0,1895.0,274003.0,233565.0,2371.2642517089844,510.7357482910156,98636985,1.6812568812725774,1.7918436012736048
2022-08-25,60125257,38429661,40405,43967,0.10292552986895322,0.034308506434812334,1.7197729008367533e-05,0.049795817349337954,0.004492321742445442,0.009938156665754734,4118,0.0,1952.0,270102.0,218134.0,2507.8422241210938,537.1577758789062,98639291,1.6360156247102924,1.7988890365750208
2022-08-26,60236309,38319852,41468,43967,0.09732004431453072,0.03244001471307989,1.7197729008367533e-05,0.050159158869489726,0.004484039678902849,0.010134042026554043,4118,0.0,2012.0,270102.0,198365.0,2534.9256591796875,540.0743408203125,98641597,1.5417739092242442,1.7940513986130557
2022-08-27,60353843,38203717,42375,43967,0.09013602974343253,0.030045342068152178,1.7197729008367533e-05,0.05012389380530973,0.00447530735328536,0.00988079238233661,4118,0.0,2080.0,270102.0,200370.0,2464.4138793945312,522.5861206054688,98643903,1.4232168374693137,1.7787970329520404
2022-08-28,60460671,38098489,43081,43967,0.08600756865738897,0.028669185511410587,1.7197729008367533e-05,0.05025417237297184,0.004467399966798111,0.009610302162153393,4118,0.0,2124.0,270102.0,186472.0,2336.9144897460938,493.08551025390625,98646209,1.348279617124042,1.7600978032829206
2022-08-29,60556250,38004634,43664,43967,0.08716242569239098,0.029054139855593124,1.7197729008367533e-05,0.050659582264565774,0.004460348848392241,0.008826712849578758,4119,0.0,2165.0,270102.0,172574.0,2270.9888916015625,477.0111083984375,98648516,1.3345544457371707,1.7406421508124257
2022-08-30,60621096,37941481,44277,43967,0.08821742710206981,0.02940580957014958,1.7197729008367533e-05,0.05124556767622016,0.004455577588114669,0.00879723165549105,4119,0.0,2212.0,270102.0,141068.0,2336.2603759765625,488.7396240234375,98650822,1.3347015825289137,1.7173490154087518
2022-08-31,60684191,37880060,44909,43967,0.08692741752131286,0.0289758069176007,1.7197729008367533e-05,0.051058807811351845,0.004450945002159661,0.008811865605205013,4119,0.0,2269.0,270102.0,139558.0,2400.2454528808594,500.7545471191406,98653128,1.3206949323034822,1.6881881266417078
2022-09-01,60747288,37818662,45517,43967,0.07942472956329052,0.026474912948287754,1.7197729008367533e-05,0.05103587670540677,0.004253852406071715,0.011112000634687098,4119,0.0,2293.0,270102.0,141240.0,2401.3467407226562,499.65325927734375,98655435,1.2679698971074855,1.6582760968283223
2022-09-02,60908699,37659192,45882,43967,0.07136104038810598,0.02378701418379514,1.7197729008367533e-05,0.05126193278409834,0.004050603611793559,0.011807927248913028,4119,0.0,2323.0,258410.0,229955.0,2226.0517578125,461.9482421875,98657741,1.1541482624250536,1.6232366223092465
2022-09-03,61106483,37463629,45968,43967,0.06407243638370495,0.021357478460623563,1.7197729008367533e-05,0.05240602158022972,0.0038461548782285047,0.01250543547267852,4119,0.0,2352.0,246717.0,257898.0,2021.3972778320312,416.60272216796875,98660048,1.030194831289897,1.5890330591645632
2022-09-04,61340022,37232608,45756,43967,0.05990707298530478,0.019969024567895743,1.7197729008367533e-05,0.05398199143281755,0.003640885506902681,0.01320656875119716,4119,0.0,2409.0,235025.0,285839.0,1824.2015380859375,372.7984619140625,98662354,0.9492792304716323,1.562233492041817
2022-09-05,61608635,36966723,45335,43967,0.0647038064775535,0.021567937921450005,1.7197729008367533e-05,0.05567442373442153,0.0034352489261534375,0.013290980578490806,4119,0.0,2470.0,223332.0,313782.0,1704.1923522949219,344.8076477050781,98664661,1.002387745017744,1.540019136042305
2022-09-06,61888448,36689542,45009,43967,0.07340890701198045,0.02446963839104673,1.7197729008367533e-05,0.057321868959541424,0.003230780627780928,0.013372202663525064,4119,0.0,2524.0,211641.0,318316.0,1831.6539001464844,366.3460998535156,98666967,1.1136597130880987,1.5157187354071722
2022-09-07,62178988,36401407,44911,43967,0.07668944570203705,0.025563151317657684,1.7197729008367533e-05,0.05829306851328182,0.0030276465477679297,0.01351519170116558,4119,0.0,2580.0,199948.0,322728.0,2072.458953857422,409.5410461425781,98669274,1.1541335034967248,1.4910472338290754
2022-09-08,62482431,36100295,44887,43967,0.07820463535038358,0.026068212175237502,1.7197729008367533e-05,0.0588811905451467,0.003012942923856147,0.011523950006483635,4120,0.0,2618.0,188256.0,330142.0,2170.4512939453125,423.5487060546875,98671581,1.1438546007165502,1.4634493683347243
2022-09-09,62709853,35875171,44895,43967,0.07709102495787956,0.025697009305256244,1.7197729008367533e-05,0.0590488918587816,0.0030020162809854716,0.010491629171942574,4120,0.0,2643.0,188256.0,260732.0,2222.894805908203,428.1051940917969,98673887,1.1112489118538877,1.4342129402929082
2022-09-10,62897665,35689698,44863,43967,0.077400159939034,0.02580005346647611,1.7197729008367533e-05,0.05933620132403094,0.002993052264752994,0.009462002024332766,4120,0.0,2651.0,188256.0,227951.0,2199.5576171875,419.4423828125,98676194,1.0949290025158418,1.4051487334258896
2022-09-11,63046779,35542921,44833,43967,0.07911345305076302,0.026371149339194305,1.7197729008367533e-05,0.059353601142015926,0.0029859732896546642,0.008038028081488435,4120,0.0,2662.0,188256.0,195171.0,2213.3612670898438,418.63873291015625,98678501,1.0918967587481136,1.3784311060189258
2022-09-12,63143840,35448136,44864,43967,0.08594589739961682,0.028648635484546516,1.7197729008367533e-05,0.059268009985734664,0.0029813834170289814,0.007758066569205678,4120,0.0,2661.0,188256.0,149571.0,2266.1492309570312,425.85076904296875,98680808,1.1812684807162934,1.3680470944454481
2022-09-13,63230007,35364006,45134,43967,0.08991427414717597,0.029971430266429053,1.7197729008367533e-05,0.05880267647449816,0.0029773205292720696,0.007671726945218008,4120,0.0,2659.0,188256.0,144984.0,2467.2970581054688,461.70294189453125,98683115,1.2434598722889145,1.3642575238811732
2022-09-14,63312299,35283590,45565,43967,0.0923176960983507,0.03077256777807516,1.7197729008367533e-05,0.05800504773400637,0.0029734506676152104,0.007417357424392236,4120,0.0,2654.0,188256.0,147143.0,2600.2365112304688,484.76348876953125,98685422,1.287216784331609,1.357637550332331
2022-09-15,63384878,35212761,46122,43967,0.08863898741626457,0.029546325922245244,1.7197729008367533e-05,0.05684922596591648,0.0027329231291719925,0.006873275155133808,4120,0.0,2643.0,188256.0,143108.0,2698.68017578125,501.31982421875,98687729,1.2628504665684634,1.3454911340270637
2022-09-16,63452860,35146597,46612,43967,0.08297992850158306,0.027659974341451614,1.7197729008367533e-05,0.05584398867244486,0.002493126384021281,0.006507116323069306,4120,0.0,2622.0,173226.0,128866.0,2625.7623901367188,486.23760986328125,98690037,1.2110230041382815,1.3276992721590546
2022-09-17,63522701,35078720,46955,43967,0.07760139456277715,0.025867132171183506,1.7197729008367533e-05,0.055116601000958367,0.0022537926976727925,0.007212805766758052,4120,0.0,2603.0,158196.0,120880.0,2486.8448181152344,459.1551818847656,98692344,1.1838175957208499,1.3061343563308243
